Datum      ; Player 1 ; Player 2 ; Farbe 1; Sieger ; Zeit   ; Outcome ; Anmerkung
-----------;----------;----------;--------;--------;--------;---------;----------

           ; Rafael   ; Vincent  ;        ; 1      ;        ; Matt    ;
           ; Rafael   ; Vincent  ;        ; 2      ;        ; Matt    ; 
           ; Rafael   ; Vincent  ;        ; 1      ;        ; Matt    ; 
           ; Rafael   ; Vincent  ; white  ; 1      ;        ; Matt    ; 
           ; Rafael   ; Vincent  ; black  ; 1      ;        ; Matt    ; 
           ; Rafael   ; Vincent  ; black  ; 1      ;  3+2   ; Matt    ;               
           ; Rafael   ; Vincent  ; white  ; 1      ;  3+2   ; Matt    ;               
           ; Rafael   ; Vincent  ; white  ; 1      ; 10+600 ; Matt    ;                 
           ; Rafael   ; Vincent  ; black  ; 1      ;  3+10  ; Matt    ;                
           ; Rafael   ; Vincent  ; white  ; 1      ; 10+0   ; Matt    ;               
2023-04-21 ; Rafael   ; Vincent  ; white  ; 1      ; 15+2   ; Matt    ;               
2023-04-21 ; Rafael   ; Vincent  ; black  ; 1      ; 15+2   ; Matt    ;               
2023-04-28 ; Rafael   ; Vincent  ; white  ; 1      ; inf.   ;         ; Blind, erst 10, dann 5
